Time (msec),A/F Correction #1 (%),A/F Correction #3 (32-bit ECU) (%),A/F Sensor #1 (AFR),Engine Load (Calculated) (g/rev),Engine Speed (rpm),Exhaust VVT Advance Angle Left (degrees),Exhaust VVT Advance Angle Right (degrees),IAM (multiplier),Ignition Total Timing (degrees),Injector Duty Cycle (%),Intake VVT Advance Angle Left (degrees),Intake VVT Advance Angle Right (degrees),Learned Ignition Timing (degrees),Manifold Relative Pressure (Corrected) (bar),Mass Airflow (g/s),Throttle Opening Angle (%),Vehicle Speed (kph)
2344,0.00,0.00,14.70,0.34,955,0.00,3.00,0.6875,16.50,2.04,0.00,0.00,0.00,-0.660,5.41,6.27,0
2406,0.00,0.00,14.70,0.33,963,0.00,3.00,0.6875,17.00,2.05,0.00,0.00,0.00,-0.660,5.38,6.27,0
2469,0.00,0.00,14.70,0.33,978,0.00,3.00,0.6875,17.50,2.09,0.00,0.00,0.00,-0.660,5.31,6.27,0
2531,0.00,0.00,14.70,0.31,963,0.00,3.00,0.6875,16.50,2.05,0.00,0.00,0.00,-0.660,5.31,6.27,0
2594,0.00,0.00,14.70,0.31,969,0.00,3.00,0.6875,18.50,2.07,0.00,0.00,0.00,-0.660,5.35,6.27,0
2672,0.00,0.00,14.70,0.35,958,0.00,3.00,0.6875,18.00,2.04,0.00,0.00,0.00,-0.660,5.35,6.27,0
2734,0.00,0.00,14.70,0.34,948,0.00,3.00,0.6875,20.00,2.02,0.00,0.00,0.00,-0.660,5.41,6.27,0
2797,0.00,0.00,14.70,0.34,957,0.00,3.00,0.6875,19.00,2.04,0.00,0.00,0.00,-0.660,5.41,6.27,0
2875,0.00,0.00,14.70,0.34,973,0.00,3.00,0.6875,15.50,2.08,0.00,0.00,0.00,-0.660,5.41,6.27,0
2938,0.00,0.00,14.70,0.33,969,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
3000,0.00,0.00,14.70,0.33,972,0.00,3.00,0.6875,14.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
3078,0.00,0.00,14.70,0.37,956,0.00,3.00,0.6875,15.50,2.04,0.00,0.00,0.00,-0.660,5.48,6.27,0
3141,0.00,0.00,14.70,0.33,961,0.00,3.00,0.6875,17.00,2.05,0.00,0.00,0.00,-0.660,5.45,6.27,0
3203,0.00,0.00,14.70,0.33,971,0.00,3.00,0.6875,14.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
3266,0.00,0.00,14.70,0.33,975,0.00,3.00,0.6875,15.50,2.08,0.00,0.00,0.00,-0.660,5.41,6.27,0
3344,0.00,0.00,14.70,0.33,972,0.00,3.00,0.6875,17.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
3406,0.00,0.00,14.70,0.32,968,0.00,3.00,0.6875,17.00,2.06,0.00,0.00,0.00,-0.660,5.41,6.27,0
3469,0.00,0.00,14.70,0.33,978,0.00,3.00,0.6875,17.50,2.09,0.00,0.00,0.00,-0.660,5.41,6.27,0
3547,0.00,0.00,14.70,0.34,976,0.00,3.00,0.6875,15.00,2.08,0.00,0.00,0.00,-0.660,5.48,6.27,0
3609,0.00,0.00,14.70,0.34,974,0.00,3.00,0.6875,17.00,2.08,0.00,0.00,0.00,-0.660,5.38,6.27,0
3672,0.00,0.00,14.70,0.34,973,0.00,3.00,0.6875,15.50,2.08,0.00,0.00,0.00,-0.660,5.41,6.27,0
3750,0.00,0.00,14.70,0.33,972,0.00,3.00,0.6875,14.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
3813,0.00,0.00,14.70,0.33,971,0.00,3.00,0.6875,14.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
3875,0.00,0.00,14.70,0.33,968,0.00,3.00,0.6875,14.50,2.07,0.00,0.00,0.00,-0.660,5.31,6.27,0
3938,0.00,0.00,14.70,0.31,976,0.00,3.00,0.6875,14.50,2.08,0.00,0.00,0.00,-0.660,5.21,6.27,0
4000,0.00,0.00,14.70,0.31,984,0.00,3.00,0.6875,13.50,2.10,0.00,0.00,0.00,-0.660,5.08,6.27,0
4078,0.00,0.00,14.70,0.32,990,0.00,3.00,0.6875,14.50,1.90,0.00,0.00,0.00,-0.670,5.31,6.27,0
4141,0.00,0.00,14.70,0.34,974,0.00,3.00,0.6875,15.50,1.87,0.00,0.00,0.00,-0.670,5.41,6.27,0
4203,0.00,0.00,14.70,0.34,974,0.00,3.00,0.6875,17.00,2.08,0.00,0.00,0.00,-0.660,5.45,6.27,0
4281,0.00,0.00,14.70,0.34,961,0.00,3.00,0.6875,17.00,2.05,0.00,0.00,0.00,-0.670,5.45,6.27,0
4344,0.00,0.00,14.70,0.34,968,0.00,3.00,0.6875,18.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
4422,0.00,0.00,14.70,0.34,970,0.00,3.00,0.6875,17.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
4484,0.00,0.00,14.70,0.34,971,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
4547,0.00,0.00,14.70,0.34,953,0.00,3.00,0.6875,17.00,2.03,0.00,0.00,0.00,-0.660,5.35,6.27,0
4609,0.00,0.00,14.70,0.33,968,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
4687,0.00,0.00,14.70,0.36,958,0.00,3.00,0.6875,16.00,2.04,0.00,0.00,0.00,-0.660,5.41,6.27,0
4750,0.00,0.00,14.70,0.34,950,0.00,3.00,0.6875,16.50,2.03,0.00,0.00,0.00,-0.660,5.35,5.88,0
4821,0.00,0.00,14.70,0.34,948,0.00,3.00,0.6875,17.50,2.02,0.00,0.00,0.00,-0.660,5.41,6.27,0
4888,0.00,0.00,14.70,0.34,955,0.00,3.00,0.6875,18.00,2.04,0.00,0.00,0.00,-0.660,5.45,6.27,0
4950,0.00,0.00,14.70,0.34,938,0.00,3.00,0.6875,20.00,2.00,0.00,0.00,0.00,-0.660,5.41,6.27,0
5008,0.00,0.00,14.70,0.34,962,0.00,3.00,0.6875,18.50,2.05,0.00,0.00,0.00,-0.660,5.45,6.27,0
5087,0.00,0.00,14.70,0.33,974,0.00,3.00,0.6875,17.00,2.08,0.00,0.00,0.00,-0.650,5.35,6.27,0
5149,0.00,0.00,14.70,0.34,966,0.00,3.00,0.6875,17.00,2.06,0.00,0.00,0.00,-0.650,5.41,6.27,0
5212,0.00,0.00,14.70,0.33,974,0.00,3.00,0.6875,17.00,2.08,0.00,0.00,0.00,-0.650,5.41,6.27,0
5274,0.00,0.00,14.70,0.33,977,0.00,3.00,0.6875,16.00,2.08,0.00,0.00,0.00,-0.650,5.31,6.27,0
5352,0.00,0.00,14.70,0.33,978,0.00,3.00,0.6875,14.50,2.09,0.00,0.00,0.00,-0.650,5.38,5.88,0
5415,0.00,0.00,14.70,0.31,961,0.00,3.00,0.6875,15.00,2.05,0.00,0.00,0.00,-0.660,4.98,6.27,0
5477,0.00,0.00,14.70,0.31,966,0.00,3.00,0.6875,15.00,2.06,0.00,0.00,0.00,-0.660,5.01,6.27,0
5555,0.00,0.00,14.70,0.33,961,0.00,3.00,0.6875,15.50,1.85,0.00,0.00,0.00,-0.660,5.28,6.27,0
5618,0.00,0.00,14.70,0.34,960,0.00,3.00,0.6875,16.50,2.05,0.00,0.00,0.00,-0.660,5.35,5.88,0
5680,0.00,0.00,14.70,0.34,950,0.00,3.00,0.6875,16.50,2.03,0.00,0.00,0.00,-0.660,5.41,6.27,0
5743,0.00,0.00,14.70,0.33,963,0.00,3.00,0.6875,16.50,2.05,0.00,0.00,0.00,-0.660,5.35,6.27,0
5821,0.00,0.00,14.70,0.34,948,0.00,3.00,0.6875,18.50,2.02,0.00,0.00,0.00,-0.660,5.35,6.27,0
5884,0.00,0.00,14.70,0.34,955,0.00,3.00,0.6875,19.50,2.04,0.00,0.00,0.00,-0.660,5.41,5.88,0
5946,0.00,0.00,14.70,0.34,968,0.00,3.00,0.6875,17.50,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
6009,0.00,0.00,14.70,0.32,966,0.00,3.00,0.6875,17.00,2.06,0.00,0.00,0.00,-0.660,5.41,6.27,0
6087,0.00,0.00,14.70,0.34,954,0.00,3.00,0.6875,18.50,2.04,0.00,0.00,0.00,-0.660,5.38,6.27,0
6149,0.00,0.00,14.70,0.34,956,0.00,3.00,0.6875,18.50,2.04,0.00,0.00,0.00,-0.660,5.38,6.27,0
6212,0.00,0.00,14.70,0.34,972,0.00,3.00,0.6875,20.00,2.07,0.00,0.00,0.00,-0.660,5.41,6.27,0
6290,0.00,0.00,14.70,0.34,966,0.00,3.00,0.6875,18.50,2.06,0.00,0.00,0.00,-0.660,5.41,6.27,0
6360,0.00,0.00,14.70,0.34,955,0.00,3.00,0.6875,19.50,2.04,0.00,0.00,0.00,-0.660,5.41,6.27,0
6423,0.00,0.00,14.70,0.33,968,0.00,3.00,0.6875,17.50,2.07,0.00,0.00,0.00,-0.660,5.38,5.88,0
6486,0.00,0.00,14.70,0.33,969,0.00,3.00,0.6875,16.00,2.07,0.00,0.00,0.00,-0.660,5.35,6.27,0
6548,0.00,0.00,14.70,0.34,962,0.00,3.00,0.6875,17.00,2.05,0.00,0.00,0.00,-0.660,5.41,6.27,0
6626,0.00,0.00,14.70,0.34,949,0.00,3.00,0.6875,19.00,2.03,0.00,0.00,0.00,-0.660,5.41,6.27,0
6689,0.00,0.00,14.70,0.34,944,0.00,3.00,0.6875,19.50,2.01,0.00,0.00,0.00,-0.660,5.41,6.27,0
6751,0.00,0.00,14.70,0.42,942,0.00,3.00,0.6875,13.00,2.01,0.00,0.00,0.00,-0.660,6.65,9.02,0
6814,0.00,0.00,14.70,0.56,921,0.00,3.00,0.6875,14.50,2.55,0.00,0.00,0.00,-0.640,8.49,9.02,0
6892,0.00,0.00,14.70,0.60,885,0.00,2.00,0.6875,19.00,3.02,0.00,0.00,0.00,-0.600,8.72,8.24,0
6955,0.00,0.00,14.70,0.53,874,0.00,2.00,0.6875,20.00,2.98,0.00,0.00,0.00,-0.580,7.89,7.45,0
7033,0.00,0.00,14.70,0.46,892,0.00,2.00,0.6875,18.00,2.66,0.00,0.00,0.00,-0.560,6.96,7.06,0
7095,0.00,0.00,14.70,0.41,899,0.00,2.00,0.6875,16.50,2.30,0.00,0.00,0.00,-0.570,6.22,6.27,0
7158,0.00,0.00,14.70,0.40,891,0.00,2.00,0.6875,18.00,2.28,0.00,0.00,0.00,-0.570,5.91,6.27,0
7220,0.00,0.00,14.70,0.40,882,0.00,2.00,0.6875,19.00,2.26,0.00,0.00,0.00,-0.580,5.88,6.27,0
7283,0.00,0.00,14.70,0.40,870,0.00,2.00,0.6875,20.50,2.23,0.00,0.00,0.00,-0.580,5.85,6.67,0
7361,0.00,0.00,14.70,0.41,860,0.00,2.00,0.6875,22.00,2.20,0.00,0.00,0.00,-0.580,5.88,6.67,0
7421,0.00,0.00,14.70,0.42,852,0.00,2.00,0.6875,21.00,2.18,0.00,0.00,0.00,-0.580,5.95,6.67,0
7484,0.00,0.00,14.70,0.43,848,0.00,2.00,0.6875,22.50,2.17,0.00,0.00,0.00,-0.580,6.02,6.67,0
7562,0.00,0.00,14.70,0.43,839,0.00,2.00,0.6875,23.00,2.15,0.00,0.00,0.00,-0.580,6.08,6.67,0
7624,0.00,0.00,14.70,0.43,837,0.00,2.00,0.6875,24.00,2.14,0.00,0.00,0.00,-0.580,6.08,7.06,0
7687,0.00,0.00,14.70,0.43,841,0.00,2.00,0.6875,23.50,2.15,0.00,0.00,0.00,-0.570,6.08,7.06,0
7765,0.00,0.00,14.70,0.45,840,0.00,2.00,0.6875,23.50,2.15,0.00,0.00,0.00,-0.570,6.24,7.06,0
7843,0.00,0.00,14.70,0.46,849,0.00,2.00,0.6875,23.50,2.17,0.00,0.00,0.00,-0.570,6.33,7.06,0
7890,0.00,0.00,14.70,0.46,831,0.00,2.00,0.6875,26.00,2.13,0.00,0.00,0.00,-0.570,6.33,7.06,0
7952,0.00,0.00,14.70,0.48,830,0.00,2.00,0.6875,27.50,2.12,0.00,0.00,0.00,-0.560,6.50,7.06,0
8031,0.00,0.00,14.70,0.48,825,0.00,2.00,0.6875,27.50,2.11,0.00,0.00,0.00,-0.560,6.50,7.06,0
8094,0.00,0.00,14.70,0.47,830,0.00,2.00,0.6875,27.50,2.13,0.00,0.00,0.00,-0.550,6.41,9.02,0
8172,0.00,0.00,14.70,0.71,826,0.00,2.00,0.6875,19.50,2.12,0.00,0.00,0.00,-0.550,9.73,14.51,0
8234,0.00,0.00,14.70,1.27,835,0.00,2.00,0.6875,21.50,5.88,0.00,0.00,1.00,-0.420,17.72,18.04,0
8297,0.00,0.00,14.70,1.96,827,0.00,2.00,0.6875,22.50,6.53,0.00,0.00,3.00,-0.240,29.17,42.75,0
8359,0.00,0.00,14.70,1.36,1100,0.00,3.00,0.6875,19.00,11.49,0.00,0.00,7.50,-0.030,25.50,36.08,1
8422,0.00,0.00,14.70,0.91,1344,0.00,3.00,0.6875,20.00,8.60,0.00,0.00,7.00,-0.040,19.60,18.04,1
8497,0.00,0.00,14.70,0.62,1499,0.00,3.00,0.6875,25.50,6.72,0.00,0.00,5.00,-0.180,15.68,15.69,1
8559,0.00,0.00,14.70,0.62,1572,0.00,3.00,0.6875,29.00,7.04,0.00,0.00,4.00,-0.250,16.60,15.29,2
8622,0.00,0.00,14.70,0.65,1614,0.00,3.00,0.6875,33.50,6.20,0.00,0.00,3.00,-0.280,17.66,15.29,2
8700,0.00,0.00,14.70,0.68,1598,0.00,3.00,0.6875,34.00,5.79,0.00,0.00,2.50,-0.310,18.15,14.51,2
8762,0.00,0.00,14.70,0.69,1588,0.00,3.00,0.6875,34.00,5.76,0.00,0.00,2.50,-0.340,18.08,14.51,3
8825,0.00,0.00,14.70,0.70,1560,0.00,3.00,0.6875,34.50,5.66,0.00,0.00,2.50,-0.360,17.94,14.51,4
8903,0.00,0.00,14.70,0.70,1528,0.00,3.00,0.6875,34.50,5.54,0.00,0.00,2.50,-0.370,18.15,14.51,4
8966,0.00,0.00,14.70,0.72,1512,0.00,3.00,0.6875,32.00,5.48,0.00,0.00,2.50,-0.370,18.15,14.51,5
9028,0.00,0.00,14.70,0.73,1510,0.00,3.00,0.6875,29.00,5.48,0.00,0.00,3.00,-0.370,18.22,14.51,5
9091,0.00,0.00,14.70,0.72,1497,0.00,3.00,0.6875,29.50,5.43,0.00,0.00,3.00,-0.370,18.22,14.90,6
9169,0.00,0.00,14.70,0.72,1488,0.00,3.00,0.6875,29.00,5.40,0.00,0.00,3.00,-0.360,18.01,14.51,6
9231,0.00,0.00,14.70,0.72,1514,0.00,3.00,0.6875,29.00,5.49,0.00,0.00,3.00,-0.360,18.15,14.51,7
9310,0.00,0.00,14.70,0.70,1508,0.00,3.00,0.6875,29.50,5.47,0.00,0.00,3.00,-0.360,17.73,14.51,7
9372,0.00,0.00,14.70,0.69,1528,0.00,3.00,0.6875,29.50,5.54,0.00,0.00,3.00,-0.360,17.59,14.51,8
9435,0.00,0.00,14.70,0.70,1546,0.00,3.00,0.6875,29.50,5.61,0.00,0.00,2.50,-0.370,17.80,14.51,8
9498,0.00,0.00,14.70,0.70,1555,0.00,3.00,0.6875,30.50,5.64,0.00,0.00,2.50,-0.370,17.94,14.51,8
9576,0.00,0.00,14.70,0.69,1550,0.00,3.00,0.6875,30.50,5.62,0.00,0.00,2.50,-0.370,18.01,14.12,9
9638,0.00,0.00,14.70,0.59,1557,0.00,3.00,0.6875,30.00,5.31,0.00,0.00,2.50,-0.380,15.35,11.37,9
9701,0.00,0.00,14.70,0.46,1568,0.00,3.00,0.6875,31.50,4.68,0.00,0.00,2.00,-0.430,11.90,9.80,9
9763,0.00,0.00,14.70,0.41,1529,0.00,3.00,0.6875,33.00,3.91,0.00,0.00,1.50,-0.470,10.32,9.41,10
9841,0.00,0.00,14.70,0.39,1468,0.00,3.00,0.6875,33.50,3.76,0.00,0.00,1.00,-0.520,9.66,9.02,10
9904,0.00,0.00,14.70,0.39,1425,0.00,3.00,0.6875,34.50,3.34,0.00,0.00,1.00,-0.550,9.51,9.02,10
9966,0.00,0.00,14.70,0.40,1359,0.00,3.00,0.6875,35.50,3.19,0.00,0.00,0.50,-0.560,9.10,9.02,11
10029,0.00,0.00,14.70,0.42,1334,0.00,3.00,0.6875,35.50,3.13,0.00,0.00,0.50,-0.570,8.96,8.63,11
10107,0.00,0.00,14.70,0.43,1290,0.00,3.00,0.6875,35.50,3.03,0.00,0.00,0.00,-0.580,9.01,8.63,11
10169,0.00,0.00,14.70,0.43,1275,0.00,3.00,0.6875,35.50,2.99,0.00,0.00,0.00,-0.580,9.10,8.63,11
10232,0.00,0.00,14.70,0.43,1246,0.00,3.00,0.6875,35.50,2.92,0.00,0.00,0.00,-0.580,9.00,8.63,11
10310,0.00,0.00,14.70,0.43,1236,0.00,3.00,0.6875,35.00,2.90,0.00,0.00,0.00,-0.580,8.90,8.63,12
10372,0.00,0.00,14.70,0.42,1236,0.00,3.00,0.6875,35.00,2.90,0.00,0.00,0.00,-0.580,8.81,8.63,12
10435,0.00,0.00,14.70,0.43,1222,0.00,3.00,0.6875,35.00,2.87,0.00,0.00,0.00,-0.580,8.49,8.63,12
10513,0.00,0.00,14.70,0.42,1223,0.00,3.00,0.6875,35.00,2.87,0.00,0.00,0.00,-0.590,9.00,8.63,12
10576,0.00,0.00,14.70,0.44,1218,0.00,3.00,0.6875,35.00,2.86,0.00,0.00,0.00,-0.590,8.81,8.63,12
10638,0.00,0.00,14.70,0.43,1221,0.00,3.00,0.6875,35.00,2.86,0.00,0.00,0.00,-0.590,8.86,8.63,12
10701,0.00,0.00,14.70,0.43,1238,0.00,3.00,0.6875,35.00,2.90,0.00,0.00,0.00,-0.590,8.90,8.63,12
10779,0.00,0.00,14.70,0.43,1235,0.00,3.00,0.6875,35.00,2.90,0.00,0.00,0.00,-0.590,8.90,8.63,12
10841,0.00,0.00,14.70,0.43,1236,0.00,3.00,0.6875,35.00,2.90,0.00,0.00,0.00,-0.590,8.90,8.63,12
10904,0.00,0.00,14.70,0.43,1252,0.00,3.00,0.6875,35.00,2.94,0.00,0.00,0.00,-0.590,8.90,8.63,12
10984,0.00,0.00,14.70,0.43,1247,0.00,3.00,0.6875,35.50,2.93,0.00,0.00,0.00,-0.590,8.90,8.63,12
11051,0.00,0.00,14.70,0.43,1259,0.00,3.00,0.6875,35.00,2.96,0.00,0.00,0.00,-0.590,8.90,8.63,12
11113,0.00,0.00,14.70,0.42,1250,0.00,3.00,0.6875,35.00,2.93,0.00,0.00,0.00,-0.590,8.81,8.63,12
11176,0.00,0.00,14.70,0.42,1254,0.00,3.00,0.6875,35.50,2.94,0.00,0.00,0.00,-0.590,8.90,8.63,12
11238,0.00,0.00,14.70,0.42,1270,0.00,3.00,0.6875,35.50,2.98,0.00,0.00,0.00,-0.590,8.81,8.63,12
11301,0.00,0.00,14.70,0.41,1265,0.00,3.00,0.6875,35.50,2.97,0.00,0.00,0.00,-0.600,8.81,8.24,12
11379,0.00,0.00,14.70,0.33,1279,0.00,3.00,0.6875,35.50,3.00,0.00,0.00,0.00,-0.600,7.62,6.67,12
11441,0.00,0.00,14.70,0.30,1260,0.00,3.00,0.6875,35.50,2.69,0.00,0.00,0.00,-0.620,6.33,6.27,12
11504,0.00,0.00,14.70,0.29,1252,0.00,3.00,0.6875,34.50,2.67,0.00,0.00,0.00,-0.640,6.08,7.06,13
11582,0.00,0.00,14.70,0.33,1253,0.00,3.00,0.6875,31.00,2.41,0.00,0.00,0.00,-0.650,6.75,7.45,13
11645,0.00,0.00,14.70,0.34,1230,0.00,3.00,0.6875,28.00,2.36,0.00,0.00,0.00,-0.640,6.96,7.45,13
11707,0.00,0.00,14.70,0.34,1229,0.00,3.00,0.6875,24.50,2.36,0.00,0.00,0.00,-0.650,6.96,7.45,13
11770,0.00,0.00,14.70,0.35,1226,0.00,3.00,0.6875,22.50,2.35,0.00,0.00,0.00,-0.650,7.00,7.06,13
11848,0.00,0.00,14.70,0.32,1200,0.00,3.00,0.6875,20.00,2.30,0.00,0.00,0.00,-0.650,6.50,6.67,13
11910,0.00,0.00,14.70,0.32,1201,0.00,3.00,0.6875,17.50,2.31,0.00,0.00,0.00,-0.660,6.28,6.67,12
11973,0.00,0.00,14.70,0.31,1172,0.00,3.00,0.6875,14.50,2.25,0.00,0.00,0.00,-0.660,6.12,6.67,13
12051,0.00,0.00,14.70,0.31,1162,0.00,3.00,0.6875,15.00,2.23,0.00,0.00,0.00,-0.670,6.08,6.27,12
12113,0.00,0.00,14.70,0.29,1166,0.00,3.00,0.6875,15.00,2.24,0.00,0.00,0.00,-0.670,5.85,6.27,12
12173,0.00,0.00,14.70,0.31,1163,0.00,3.00,0.6875,15.00,2.23,0.00,0.00,0.00,-0.670,5.88,6.27,12
12251,0.00,0.00,14.70,0.31,1139,0.00,3.00,0.6875,15.00,2.19,0.00,0.00,0.00,-0.670,5.91,6.27,12
12313,0.00,0.00,14.70,0.31,1136,0.00,3.00,0.6875,15.00,2.18,0.00,0.00,0.00,-0.670,5.88,6.27,12
12376,0.00,0.00,14.70,0.31,1135,0.00,3.00,0.6875,15.00,2.18,0.00,0.00,0.00,-0.670,5.92,6.27,12
12454,0.00,0.00,14.70,0.32,1119,0.00,3.00,0.6875,15.00,2.15,0.00,0.00,0.00,-0.670,5.95,6.27,12
12516,0.00,0.00,14.70,0.32,1098,0.00,3.00,0.6875,15.00,2.11,0.00,0.00,0.00,-0.670,5.95,6.27,12
12579,0.00,0.00,14.70,0.33,1085,0.00,3.00,0.6875,15.00,2.08,0.00,0.00,0.00,-0.670,5.95,6.27,12
12641,0.00,0.00,14.70,0.31,1089,0.00,3.00,0.6875,15.00,2.09,0.00,0.00,0.00,-0.670,5.95,6.27,11
12720,0.00,0.00,14.70,0.34,1079,0.00,3.00,0.6875,15.50,2.07,0.00,0.00,0.00,-0.670,5.91,6.27,11
12782,0.00,0.00,14.70,0.34,1068,0.00,3.00,0.6875,15.50,2.05,0.00,0.00,0.00,-0.670,5.88,6.27,11
12860,0.00,0.00,14.70,0.34,1039,0.00,3.00,0.6875,15.50,1.99,0.00,0.00,0.00,-0.670,5.95,6.27,11
12923,0.00,0.00,14.70,0.34,1031,0.00,3.00,0.6875,15.50,1.98,0.00,0.00,0.00,-0.670,5.95,6.27,11
